orgId	locusId	sysName	geneName	desc	set1IT078 Glucose (C) (40mM)	set1IT079 Glucose (C) (40mM)	set1IT080 Glucose (C) (20mM)	set1IT081 Glucose (C) (20mM)	set1IT082 4-Hydroxyvalerate (C) (40mM)	set1IT083 4-Hydroxyvalerate (C) (40mM)	set1IT084 Acetate Carbon Source (20mM)	set1IT085 Acetate Carbon Source (20mM)	set1IT086 Acetate Carbon Source (5mM)	set1IT087 Acetate Carbon Source (5mM)	set5IT075 D-Glucose (C)	set5IT076 D-Glucose (C)	set5IT081 Levulinic Acid (C)	set5IT082 Levulinic Acid (C)	set5IT083 Levulinic Acid (C)	set5IT084 Levulinic Acid (C)
Putida	PP_2438	PP_2438		putative alcaline-induced transporter	-0.199	-0.025	0.005	-0.070	-0.210	0.044	-0.059	0.058	-0.158	0.006	0.081	0.143	0.128	0.006	0.261	-0.014
Putida	PP_2439	PP_2439		peroxiredoxin, alkylhydroperoxide reductase - small subunit	0.427	0.013	0.452	0.171	0.157	0.234	-0.152	0.126	0.058	0.233	0.025	-0.142	-0.009	-0.185	-0.054	-0.419
Putida	PP_2440	PP_2440		Alkyl hydroperoxide reductase subunit F	-0.056	-0.020	-0.005	0.009	0.041	-0.148	-0.206	-0.270	-0.164	-0.101	-0.181	-0.171	-0.193	-0.273	-0.058	-0.217
Putida	PP_2441	PP_2441		conserved protein of unknown function	-0.624	-0.358	-0.385	-0.829	-0.198	-0.282	-0.374	-0.154	-0.004	-0.537	-0.307	-0.303	-0.035	-0.462	-0.312	-0.031
Putida	PP_2442	PP_2442		conserved protein of unknown function, DUF480 family	-0.176	0.105	0.416	0.124	0.565	0.718	-0.351	0.100	-0.299	0.138	-0.571	-0.365	-0.732	-0.866	0.024	-0.691
Putida	PP_2443	PP_2443		Serine/threonine transporter SstT	0.475	0.266	0.253	0.316	0.130	-0.041	0.309	0.086	0.385	0.452	-0.107	0.113	-0.133	-0.214	-0.006	0.098
Putida	PP_2444	PP_2444		Transcriptional regulator, LysR family	0.111	0.161	0.339	-0.232	0.329	0.314	0.167	0.214	0.074	-0.001	-0.111	-0.086	-0.027	-0.430	0.225	-0.017
Putida	PP_2445	PP_2445		conserved membrane protein of unknown function	-0.054	0.088	0.109	0.163	-0.009	-0.215	-0.048	0.086	0.134	-0.289	0.008	0.047	0.201	-0.146	0.129	0.191
Putida	PP_2446	PP_2446		conserved exported protein of unknown function	-0.070	0.261	-0.177	0.011	-0.060	-0.348	0.131	-0.326	0.284	-0.016	0.117	-0.439	-0.026	0.082	-0.486	-0.028
Putida	PP_2447	PP_2447		conserved exported protein of unknown function	-0.078	-0.340	-0.054	-0.006	-0.150	-0.197	-0.151	-0.113	0.161	0.156	-0.173	-0.101	-0.116	-0.023	0.072	-0.151
Putida	PP_2448	PP_2448		gamma-glutamylputrescine oxidase	-0.031	0.057	0.124	-0.031	-0.196	-0.041	0.190	0.142	0.020	0.016	0.061	0.022	0.028	-0.121	0.366	-0.022
Putida	PP_2449	PP_2449		conserved protein of unknown function	-0.043	-0.078	-0.215	0.044	0.233	0.001	-0.213	-0.184	-0.312	-0.273	0.187	0.045	-0.090	-0.132	0.114	0.107
Putida	PP_2450	PP_2450		conserved protein of unknown function	-0.050	0.285	0.284	0.198	0.001	-0.350	-0.157	-0.022	0.253	0.085	-0.330	0.029	-0.301	0.094	0.080	0.132
Putida	PP_2451	PP_2451		extracellular DNA endonuclease	-0.202	0.044	-0.059	-0.046	-0.099	-0.022	-0.367	-0.130	-0.122	-0.111	-0.141	-0.174	-0.032	-0.169	0.072	-0.149
Putida	PP_2452	PP_2452		conserved protein of unknown function	0.016	-0.003	0.151	0.092	0.152	0.002	0.122	-0.100	-0.046	-0.174	0.201	-0.064	-0.033	0.173	-0.239	-0.076
Putida	PP_2453	PP_2453		Glutaminase-asparaginase	-0.223	0.004	0.127	-0.004	-0.074	0.041	0.186	0.086	0.091	-0.026	0.252	0.079	0.083	-0.062	0.263	0.084
Putida	PP_2454	PP_2454		ribose ABC transporter, periplasmic ribose-binding subunit	0.101	-0.063	0.019	0.131	0.469	0.492	0.399	-0.059	0.243	-0.141	-0.238	-0.296	-0.086	-0.124	-0.098	-0.308
Putida	PP_2455	PP_2455		ribose ABC transporter - ATP-binding subunit	0.048	-0.143	-0.201	-0.056	0.542	0.725	0.098	0.402	0.243	0.213	-0.204	-0.016	0.048	0.117	0.133	0.241
Putida	PP_2456	PP_2456		D-ribose ABC transporter - permease subunit	-0.123	-0.331	-0.332	0.019	0.467	0.145	0.366	0.324	0.082	-0.045	-0.222	-0.229	-0.166	-0.391	-0.054	-0.444
Putida	PP_2457	PP_2457		DNA-binding transcriptional repressor	-0.081	0.122	0.192	-0.085	1.107	0.958	0.305	0.516	0.273	0.026	-0.186	-0.240	0.168	0.436	0.367	0.375
Putida	PP_2458	PP_2458		ribokinase	0.000	0.025	0.001	-0.009	0.699	0.736	0.171	0.249	-0.117	0.243	0.207	0.013	0.195	0.344	0.342	0.222
Putida	PP_2459	PP_2459		ribose pyranase	-0.108	-0.322	-0.225	-0.751	-0.009	0.046	-0.276	0.065	-0.332	-0.122	0.261	-0.116	-0.128	-0.145	-0.174	0.333
Putida	PP_2460	PP_2460		ribonucleoside hydrolase	0.054	0.092	-0.245	-0.251	-0.217	-0.204	-0.321	-0.318	-0.245	-0.134	0.273	-0.043	0.087	0.000	0.068	-0.052
Putida	PP_2462	PP_2462		conserved protein of unknown function	0.250	0.214	0.130	0.008	-0.212	-0.628	0.136	0.244	-0.703	-0.774	0.403	0.178	0.078	-0.198	-0.291	-0.528
Putida	PP_2472	PP_2472		putative transcriptional regulator, MerR family	0.178	0.112	-0.122	0.480	0.524	0.703	-0.144	0.040	0.033	-0.159	-0.066	-0.250	-0.729	-0.321	0.007	-0.056
Putida	PP_2473	PP_2473		conserved protein of unknown function	0.000	-0.065	0.014	0.060	-0.032	-0.119	-0.027	-0.059	-0.072	-0.043	-0.120	-0.045	-0.193	-0.029	-0.048	0.022
Putida	PP_2474	PP_2474		Glutathione S-transferase family protein	0.201	-0.209	-0.346	-0.063	-0.411	0.250	0.275	-0.165	-0.224	0.137	0.069	-0.190	-0.008	-0.039	0.196	-0.311
Putida	PP_2475	PP_2475		Transcriptional regulator, TetR family	-0.247	-0.011	-0.115	-0.151	-0.757	-0.528	-0.402	-0.099	-0.173	-0.217	0.044	0.113	-0.189	0.077	-0.048	-0.068
Putida	PP_2476	PP_2476		NADPH-dependent curcumin/dihydrocurcumin reductase	0.007	0.052	0.070	0.011	-0.053	-0.052	0.054	0.038	0.084	-0.160	-0.099	0.100	0.004	0.045	-0.039	0.150
Putida	PP_2477	PP_2477		isoquinoline 1-oxidoreductase subunit alpha	-0.002	-0.389	0.111	-0.061	0.192	-0.194	0.098	0.316	-0.017	-0.404	-0.086	-0.225	0.140	-0.560	-0.055	-0.364
Putida	PP_2478	PP_2478		putative Isoquinoline 1-oxidoreductase, beta subunit	0.059	0.018	-0.015	0.029	-0.089	-0.094	-0.018	-0.016	-0.033	-0.088	0.070	-0.069	0.002	-0.018	0.035	0.056
Putida	PP_2479	PP_2479		Cytochrome c family protein	-0.078	0.046	-0.058	0.061	-0.162	0.064	0.069	0.170	0.180	0.000	0.030	-0.136	0.129	0.171	0.196	-0.081
Putida	PP_2480	PP_2480		putative Xanthine dehydrogenase accessory factor	0.251	0.021	0.117	-0.092	-0.073	-0.037	-0.081	0.252	-0.075	-0.088	-0.018	0.012	-0.150	-0.196	-0.171	-0.097
Putida	PP_2481	PP_2481		conserved protein of unknown function	0.105	-0.161	0.106	-0.017	0.044	0.071	-0.033	-0.079	-0.024	-0.166	0.041	0.029	0.223	-0.007	0.078	-0.023
Putida	PP_2482	PP_2482		putative Molybdenum cofactor biosynthesis protein A	-0.226	-0.055	-0.087	-0.021	-0.102	-0.155	-0.188	-0.090	-0.135	-0.204	-0.018	0.073	0.122	-0.085	-0.049	0.181
Putida	PP_2483	PP_2483		conserved protein of unknown function	0.079	0.146	-0.058	0.023	-0.153	0.006	0.262	0.108	0.158	-0.117	-0.147	-0.273	-0.314	0.051	-0.148	0.067
Putida	PP_2485	PP_2485		conserved protein of unknown function	-0.235	-0.007	0.019	-0.138	-0.000	-0.133	-0.020	-0.144	-0.031	-0.061	-0.034	0.162	-0.149	-0.006	-0.131	-0.140
Putida	PP_2486	PP_2486		NADH-dependent flavin oxidoreductase, Oye family	-0.020	0.129	0.077	-0.021	0.043	0.107	0.135	0.126	0.026	0.045	-0.063	-0.096	0.109	-0.033	0.049	0.130
Putida	PP_2487	PP_2487		putative aldehyde dehydrogenase	-0.004	-0.107	-0.119	-0.111	-0.120	-0.027	-0.030	-0.096	0.129	0.130	0.061	0.009	0.091	-0.081	0.070	0.066
Putida	PP_2488	PP_2488		NAD+-dependent succinate semialdehyde dehydrogenase	-0.015	0.034	-0.054	-0.052	0.092	0.084	0.023	-0.117	-0.009	-0.008	-0.002	-0.057	-0.029	0.088	0.016	0.010
Putida	PP_2489	PP_2489		putative Xenobiotic reductase	-0.003	0.027	-0.008	-0.114	0.027	0.049	0.095	-0.001	0.069	-0.016	-0.052	-0.061	0.178	0.053	0.097	0.119
Putida	PP_2490	PP_2490		Flavoprotein	-0.142	0.191	-0.153	-0.363	-0.416	-0.294	0.043	-0.255	-0.352	-0.046	-0.091	0.217	0.018	0.170	0.124	0.143
Putida	PP_2491	PP_2491		ThiJ/PfpI family protein	-0.102	0.011	-0.054	-0.060	-0.165	0.012	-0.246	0.010	0.030	-0.085	0.045	-0.010	0.059	0.164	0.086	-0.170
Putida	PP_2492	PP_2492		alcohol dehydrogenase, NAD(P)-dependent	-0.152	-0.184	-0.108	-0.094	-0.158	-0.171	-0.045	-0.130	-0.172	-0.177	0.028	-0.010	-0.091	0.031	0.048	-0.026
Putida	PP_2493	PP_2493		RadC family protein	-0.031	-0.171	-0.148	-0.021	0.053	-0.176	-0.170	-0.083	-0.012	-0.023	-0.231	-0.139	-0.183	-0.007	-0.215	-0.136
Putida	PP_2494	PP_2494		conserved protein of unknown function	0.213	0.387	0.263	0.302	0.070	0.110	0.095	0.385	0.267	-0.235	0.013	-0.055	-0.082	0.044	0.235	0.059
Putida	PP_2495	PP_2495		conserved protein of unknown function	-0.048	-0.031	-0.021	-0.099	-0.004	0.107	-0.087	0.033	-0.119	-0.149	-0.049	-0.074	0.005	-0.065	-0.091	-0.038
Putida	PP_2496	PP_2496		conserved protein of unknown function	-0.041	0.376	-0.019	-0.004	0.175	0.206	0.133	-0.072	-0.219	-0.027	0.043	0.002	0.231	0.008	0.081	0.250
Putida	PP_2497	PP_2497		conserved protein of unknown function	-0.072	0.410	-0.481	-0.049	0.091	0.493	0.083	0.654	-0.629	0.259	0.074	-0.501	-0.251	0.020	-0.761	-0.282
Putida	PP_2498	PP_2498		conserved protein of unknown function	0.043	0.411	0.194	0.621	0.426	0.386	0.300	0.088	0.333	0.492	0.158	-0.127	-0.026	0.073	0.349	-0.001
Putida	PP_2499	PP_2499		conserved protein of unknown function	-0.420	-0.045	-0.176	0.289	-0.068	-0.525	-1.022	-0.555	-0.112	-0.119	-0.130	0.193	-0.422	-0.363	-0.191	-0.329
Putida	PP_2500	PP_2500		conserved protein of unknown function	-0.464	0.186	-0.463	0.043	-0.291	0.073	0.038	0.221	-0.020	-0.323	0.255	-0.064	0.137	-0.278	0.033	0.521
Putida	PP_2501	PP_2501		putative phage integrase	-0.222	-0.141	-0.063	-0.032	-0.092	-0.010	-0.194	0.009	-0.041	0.022	0.161	-0.021	-0.015	0.073	-0.031	0.230
Putida	PP_2502	PP_2502		Transcriptional regulator, LysR family	-0.204	-0.062	-0.131	-0.168	0.238	-0.048	0.057	-0.116	0.043	0.039	-0.076	0.055	-0.030	0.012	0.124	-0.032
Putida	PP_2503	PP_2503		putative 3-oxoacyl-(Acyl-carrier-protein) reductase	0.238	-0.037	0.118	-0.328	0.258	-0.003	-0.162	-0.126	0.082	0.378	-0.158	-0.100	0.149	-0.417	-0.124	-0.350
Putida	PP_2504	PP_2504		putative tautomerase K2	0.139	0.029	0.126	-0.407	0.367	0.158	0.083	0.385	0.423	-0.704	0.081	0.059	0.268	-0.575	-0.198	-0.396
Putida	PP_2505	PP_2505		GAF domain/GGDEF domain protein	-0.001	-0.051	0.009	0.037	0.147	-0.053	0.069	-0.058	0.028	-0.107	0.010	-0.009	-0.019	-0.071	0.130	0.066
Putida	PP_2506	PP_2506		conserved membrane protein of unknown function	0.200	0.093	-0.132	-0.013	0.182	-0.167	-0.340	-0.033	0.053	-0.131	0.039	0.183	0.329	0.115	0.192	0.077
Putida	PP_2507	PP_2507		Oxidoreductase, short-chain dehydrogenase/reductase family	-0.048	0.175	0.030	0.313	0.488	0.050	0.106	0.281	0.166	0.141	0.018	0.042	0.254	0.065	0.098	-0.090
Putida	PP_2509	PP_2509		conserved protein of unknown function	-0.433	-0.741	-0.080	-0.263	-0.149	-0.440	-0.797	-0.658	-0.702	-0.558	-0.714	-0.407	-0.136	-0.175	-0.116	0.262
Putida	PP_2510	PP_2510		conserved protein of unknown function	-0.363	-0.252	-1.123	-0.458	-0.125	0.071	0.156	0.483	-0.124	-0.076	0.314	-0.054	-0.094	0.276	-0.060	-0.080
Putida	PP_2511	PP_2511		conserved protein of unknown function	-0.176	-0.208	-0.267	-0.013	-0.151	-0.142	-0.030	0.196	0.306	-0.269	-0.328	-0.365	0.399	-0.420	0.074	-0.367
Putida	PP_2512	PP_2512		GTP cyclohydrolase 1	-0.136	-0.134	0.115	-0.136	0.116	0.160	-0.085	-0.006	0.026	0.052	0.007	0.016	0.072	-0.081	0.077	-0.119
Putida	PP_2513	PP_2513		4-oxalomesaconate tautomerase	-0.121	-0.120	0.215	-0.416	-0.101	-0.298	0.030	-0.564	0.049	-0.267	-0.401	-0.130	-0.605	-0.032	-0.007	0.141
Putida	PP_2514	PP_2514		4-carboxy-4-hydroxy-2-oxoadipic acid aldolase	-0.043	-0.089	0.011	-0.109	-0.172	0.021	0.003	0.074	0.094	-0.559	-0.411	-0.037	-0.255	-0.236	-0.073	-0.019
Putida	PP_2515	PP_2515		4-oxalmesaconate hydratase	-0.041	-0.058	-0.065	-0.008	-0.040	-0.231	-0.006	-0.069	-0.065	-0.141	0.019	-0.050	-0.062	0.054	-0.046	0.133
Putida	PP_2516	PP_2516		HTH-type transcriptional regulator GalR	-0.315	-0.486	-0.210	-0.137	-0.309	-0.324	-0.019	-0.426	-0.133	-0.152	-0.058	0.130	0.103	-0.170	0.135	-0.130
Putida	PP_2517	PP_2517		porin-like protein	0.150	-0.082	-0.009	0.197	0.113	0.093	-0.019	0.088	-0.143	-0.173	-0.106	-0.300	-0.197	0.054	-0.031	-0.046
Putida	PP_2518	PP_2518		gallate dioxygenase	0.059	0.155	0.037	0.195	0.122	0.213	-0.150	0.015	-0.043	0.127	-0.025	0.080	0.111	0.006	-0.036	0.042
Putida	PP_2520	PP_2520		conserved protein of unknown function	-0.017	-0.010	-0.138	0.294	-0.145	0.703	0.262	-0.760	0.110	0.169	-0.327	-0.492	-0.159	-0.277	-0.158	-0.051
Putida	PP_2524	PP_2524		HD domain protein	0.166	0.067	0.181	-0.091	0.287	0.016	0.295	0.061	0.196	0.090	-0.089	-0.072	-0.082	0.184	-0.086	0.042
Putida	PP_2525	PP_2525		conserved protein of unknown function	-0.287	-0.126	-0.332	-0.143	-0.393	-0.106	0.064	-0.048	0.259	-0.053	0.142	0.052	0.131	-0.270	-0.299	-0.056
Putida	PP_2526	PP_2526		conserved membrane protein of unknown function	-0.007	-0.245	-0.333	-0.670	0.198	-0.271	-0.344	-0.367	-0.131	-0.042	0.205	-0.199	0.040	0.213	-0.234	-0.464
Putida	PP_2527	PP_2527		conserved membrane protein of unknown function	0.103	0.075	0.006	0.017	0.233	0.239	0.156	0.249	0.125	0.269	-0.200	-0.328	-0.042	-0.268	-0.205	-0.098
Putida	PP_2528	PP_2528		O-acetylhomoserine (thiol)-lyase	0.177	0.218	0.034	0.080	0.110	-0.131	-0.002	0.270	-0.114	0.046	-0.172	-0.049	0.027	0.118	-0.021	-0.084
Putida	PP_2530	PP_2530		conserved protein of unknown function	0.123	0.015	-0.402	-0.352	0.132	-0.719	-0.518	-0.826	-0.172	0.000	0.026	0.183	0.015	-0.457	0.122	0.101
Putida	PP_2531	PP_2531		putative 5-nucleotidase	0.108	-0.052	0.106	-0.008	-0.087	0.031	0.208	0.323	0.208	-0.005	0.126	0.047	0.076	0.210	0.155	0.005
Putida	PP_2532	PP_2532		conserved protein of unknown function	-0.231	-0.337	-0.213	0.032	-0.421	-0.023	0.043	0.089	-0.386	0.026	0.037	-0.006	-0.202	-0.024	-0.233	-0.246
Putida	PP_2533	PP_2533		D-isomer specific 2-hydroxyacid dehydrogenase family protein	0.012	0.002	-0.066	0.045	0.294	0.056	0.004	-0.050	-0.038	0.011	-0.265	0.046	0.016	-0.128	0.085	-0.164
Putida	PP_2534	PP_2534		Transcriptional regulator, LysR family	-0.095	-0.190	-0.221	-0.031	-0.106	-0.137	-0.037	-0.273	-0.095	-0.274	0.238	0.084	0.005	0.138	0.252	-0.066
Putida	PP_2535	PP_2535		putative inner membrane transport protein	0.143	0.034	-0.132	0.125	-0.012	-0.405	-0.026	-0.330	-0.108	0.070	0.222	-0.008	-0.203	0.069	0.150	0.105
Putida	PP_2536	PP_2536		Glutathione S-transferase family protein	0.139	-0.026	-0.149	-0.135	-0.274	-0.134	-0.112	0.168	0.105	-0.052	-0.266	-0.382	-0.418	-0.012	-0.093	0.048
Putida	PP_2537	PP_2537		conserved protein of unknown function	0.012	-0.163	-0.262	0.217	0.441	0.261	-0.117	0.292	-0.085	0.248	0.195	0.393	0.260	0.159	0.116	0.242
Putida	PP_2538	PP_2538		conserved exported protein of unknown function	0.022	0.068	-0.120	-0.041	-0.093	0.065	-0.134	-0.177	-0.106	-0.074	0.047	0.193	0.179	0.075	-0.114	-0.152
Putida	PP_2539	PP_2539		Transcriptional regulator, LysR family	-0.164	-0.451	0.071	0.004	-0.140	-0.498	-0.113	0.111	-0.295	0.220	0.024	0.079	-0.175	0.275	0.339	-0.065
Putida	PP_2540	PP_2540		Oxidoreductase, short-chain dehydrogenase/reductase family	0.053	-0.012	0.156	-0.009	0.072	0.000	0.010	0.106	-0.114	-0.075	0.056	-0.029	-0.324	-0.377	0.106	-0.154
Putida	PP_2541	PP_2541		Transcriptional factor-related protein	0.040	0.009	-0.161	0.005	-0.180	-0.045	-0.021	0.043	-0.088	0.200	-0.141	-0.011	0.111	-0.165	0.071	-0.027
Putida	PP_2542	PP_2542		Transcriptional regulator, GntR family	-0.062	-0.006	-0.237	-0.239	-0.198	-0.220	-0.100	-0.196	-0.094	-0.235	-0.112	-0.094	-0.202	-0.254	-0.130	-0.098
Putida	PP_2543	PP_2543		gamma-aminobutyrate permease	0.125	0.343	0.166	0.331	0.093	0.162	-0.022	0.005	0.133	0.055	0.039	0.139	0.184	0.193	0.155	0.109
Putida	PP_2544	PP_2544		conserved exported protein of unknown function	0.207	0.264	-0.035	-0.475	0.224	0.323	-0.067	0.803	-0.191	-0.058	-0.059	0.197	-0.465	-0.052	-0.134	-0.771
Putida	PP_2545	PP_2545		trans-aconitate methyltransferase	0.054	-0.170	-0.428	0.077	-0.177	-0.002	-0.147	0.200	-0.004	0.110	0.269	0.430	-0.063	0.236	0.264	0.236
Putida	PP_2546	PP_2546		conserved membrane protein of unknown function	-0.169	-0.112	0.111	-0.261	-0.199	-0.224	-0.120	0.147	-0.311	0.137	-0.073	-0.013	0.090	-0.002	-0.185	0.067
Putida	PP_2547	PP_2547		Transcriptional regulator, LysR family	-0.378	0.268	0.325	0.189	0.222	0.304	-0.067	0.474	0.317	0.177	0.202	0.124	0.429	0.361	-0.157	0.625
Putida	PP_2548	PP_2548		putative Sugar MFS transporter	0.109	0.257	-0.203	0.116	0.123	-0.020	0.114	0.047	0.051	0.104	-0.143	0.065	-0.008	0.368	0.132	0.243
Putida	PP_2549	PP_2549		conserved protein of unknown function	-0.236	-0.356	-0.144	-0.110	-0.192	0.154	-0.110	-0.030	-0.014	0.046	0.012	0.033	0.268	0.447	0.154	0.432
Putida	PP_2550	PP_2550		putative transcriptional regulatory protein	0.372	-0.074	0.139	0.190	0.390	0.599	0.094	-0.031	0.158	0.501	-0.514	0.116	-0.438	0.135	0.148	0.019
Putida	PP_2551	PP_2551		Transcriptional regulator, LysR family	0.127	0.182	0.017	0.132	0.201	-0.007	0.086	-0.069	0.030	0.195	0.124	0.178	-0.177	0.142	0.276	-0.113
Putida	PP_2552	PP_2552		DOPA decarboxylase	0.128	0.051	0.110	0.169	0.234	0.342	-0.044	0.043	0.160	0.137	-0.269	0.007	0.131	0.008	-0.037	0.013
Putida	PP_2553	PP_2553		Major facilitator family transporter	-0.002	-0.053	0.110	0.088	0.104	0.028	0.056	0.026	-0.058	0.154	0.002	0.052	0.080	-0.034	-0.033	-0.038
Putida	PP_2554	PP_2554		putative 3-dehydroshikimate dehydratase	0.037	-0.227	-0.009	0.211	0.008	-0.005	0.008	0.125	-0.064	-0.093	-0.122	-0.099	-0.027	-0.246	-0.145	0.073
Putida	PP_2555	PP_2555		conserved protein of unknown function	0.293	0.008	0.134	-0.134	-0.654	-0.313	0.028	-0.060	-0.045	0.100	0.066	-0.156	0.184	0.027	-0.329	0.049
Putida	PP_2556	PP_2556		Chromate transporter	-0.255	-0.035	0.088	-0.022	-0.193	-0.017	-0.033	-0.102	-0.218	0.174	-0.081	0.025	-0.302	-0.078	-0.244	-0.238
Putida	PP_2557	PP_2557		Sensory box protein	-0.347	-0.006	-0.195	0.043	0.143	-0.013	-0.005	-0.549	-0.036	-0.120	-0.001	0.212	-0.414	0.025	-0.051	0.203
Putida	PP_2558	PP_2558		putative Outer membrane efflux protein	-0.249	-0.058	-0.078	0.010	-0.292	-0.007	0.047	-0.255	-0.178	-0.173	-0.115	-0.175	-0.228	-0.239	-0.069	-0.162
Putida	PP_2559	PP_2559		Metalloprotease secretion protein	-0.358	0.206	-0.328	0.025	-0.697	-0.035	0.049	-0.188	0.235	-0.467	0.194	0.140	0.233	0.035	0.501	-0.025
Putida	PP_2560	PP_2560		alkaline protease secretion transporter ATP-binding protein	-0.107	-0.338	0.214	-0.267	0.044	0.002	-0.226	0.247	-0.077	-0.319	-0.006	-0.366	-0.054	-0.443	-0.097	-0.028
Putida	PP_2561	PP_2561		putative secreted hemolysin-type calcium-binding bacteriocin	0.011	0.132	-0.076	-0.006	-0.049	0.008	-0.108	-0.062	-0.042	-0.106	-0.027	-0.022	-0.097	-0.047	-0.083	0.045
Putida	PP_2562	PP_2562		conserved protein of unknown function	-0.097	0.055	-0.062	0.048	-0.036	0.066	-0.477	-0.322	-0.276	-0.017	0.231	0.243	0.069	0.041	0.331	-0.266
Putida	PP_2563	PP_2563		putative Antibiotic biosynthesis protein	-0.029	-0.040	-0.110	0.063	-0.066	-0.149	-0.038	-0.087	-0.073	-0.175	0.033	-0.079	-0.030	-0.026	0.087	0.047
Putida	PP_2564	PP_2564		putative Quercetin 2,3-dioxygenase	-0.335	-0.213	-0.075	-0.340	-0.062	-0.078	-0.264	-0.159	-0.178	-0.045	0.114	0.130	-0.026	-0.044	0.058	-0.013
Putida	PP_2565	PP_2565		putative helicase, UvrD/REP family	0.063	0.247	-0.055	0.187	0.082	0.072	0.160	0.273	0.147	0.068	-0.310	-0.057	-0.024	0.041	0.023	-0.137
Putida	PP_2566	PP_2566		conserved protein of unknown function containing Leucine-rich repeat domain	-0.006	0.140	0.066	0.167	0.149	0.005	-0.129	0.201	0.217	0.093	-0.059	-0.003	0.021	-0.066	-0.054	0.032
Putida	PP_2567	PP_2567		Hydrolase, alpha/beta fold family	-0.070	0.028	-0.108	-0.176	-0.075	-0.091	-0.181	-0.165	-0.088	-0.103	0.010	0.127	0.055	0.018	0.055	0.141
Putida	PP_2568	PP_2568		Ring-cleaving dioxygenase	0.564	-1.040	0.324	0.923	0.019	-0.519	-0.505	0.230	-0.270	0.404	0.136	-0.828	-0.382	-0.111	0.317	0.504
Putida	PP_2569	PP_2569		Metabolite MFS transporter, MHS family	-0.001	-0.027	-0.012	-0.201	0.254	-0.084	-0.131	-0.197	0.011	-0.088	-0.122	-0.051	-0.149	0.002	-0.144	-0.116
Putida	PP_2572	PP_2572		conserved protein of unknown function	-0.268	-0.079	0.012	-0.359	0.076	-0.194	-0.011	-0.001	0.239	-0.427	0.754	0.220	0.396	0.470	0.321	0.211
Putida	PP_2573	PP_2573		conserved protein of unknown function	-0.047	-0.048	-0.173	0.101	0.123	-0.122	0.109	-0.190	0.298	0.286	-0.425	-0.204	-0.502	0.157	-0.118	-0.166
Putida	PP_2574	PP_2574		Transcriptional regulator, LysR family	0.020	-0.108	-0.049	-0.065	0.047	-0.069	-0.103	-0.051	-0.087	-0.301	0.026	-0.006	-0.049	0.333	-0.016	0.244
Putida	PP_2575	PP_2575		conserved exported protein of unknown function	-0.421	0.027	-0.755	-0.398	0.526	-0.060	-0.252	-0.331	-0.488	-0.349	-0.333	0.268	-0.208	-0.253	-0.796	0.079
Putida	PP_2577	PP_2577		putative paraquat-inducible protein B (pqiB like)	-0.034	-0.175	-0.047	-0.044	0.127	-0.063	0.034	0.150	-0.163	0.253	0.107	0.003	0.132	0.074	-0.030	-0.007
Putida	PP_2579	PP_2579		putative phosphoethanolamine transferase CptA	0.012	0.034	0.012	0.055	0.046	0.087	-0.000	0.166	-0.016	-0.067	0.038	0.022	0.055	0.034	-0.025	0.073
Putida	PP_2580	PP_2580		conserved protein of unknown function	-0.345	-0.436	-0.268	0.209	-0.515	-0.716	-0.151	-0.585	-0.298	-0.118	0.101	0.373	0.406	0.213	0.158	0.160
Putida	PP_2581	PP_2581		conserved protein of unknown function	-0.466	0.672	0.322	0.027	-0.208	0.402	0.182	-0.273	-0.924	0.323	-0.050	-0.078	0.032	-1.161	0.444	0.280
Putida	PP_2582	PP_2582		putative Heme oxygenase	0.543	-0.055	0.031	0.519	0.196	0.321	0.268	0.559	0.525	0.247	-0.386	0.234	-0.067	0.087	-0.126	-0.058
Putida	PP_2583	PP_2583		Acetyltransferase, GNAT family	0.148	0.285	0.241	0.539	0.098	0.227	0.236	0.425	0.502	0.274	-0.323	0.134	0.250	0.013	-0.125	0.058
Putida	PP_2584	PP_2584		hydroxydechloroatrazine ethylaminohydrolase	0.072	0.271	0.113	0.169	0.094	0.090	0.227	0.313	0.154	0.111	0.052	-0.088	0.086	0.159	0.113	-0.023
Putida	PP_2585	PP_2585		Alpha-ketoglutaric semialdehyde dehydrogenase	-0.265	-0.406	-0.681	-0.444	-0.260	-0.361	-0.302	-0.508	-0.391	-0.561	-0.285	-0.273	-0.073	-0.132	-0.191	0.039
Putida	PP_2586	PP_2586		putative amino acid transporter	0.003	-0.025	0.089	0.003	-0.169	-0.102	-0.013	-0.071	-0.002	-0.275	-0.102	-0.138	-0.227	-0.107	-0.217	-0.034
Putida	PP_2587	PP_2587		LuxR family transcriptional regulator	0.205	0.251	0.260	0.208	0.343	0.274	0.063	0.210	0.477	0.217	-0.233	-0.073	-0.127	-0.418	-0.166	-0.092
Putida	PP_2588	PP_2588		Aminotransferase, class III	0.020	0.181	0.148	0.126	0.169	0.043	-0.023	-0.071	0.254	-0.032	-0.127	-0.160	-0.128	-0.023	0.023	-0.258
Putida	PP_2589	PP_2589		Aldehyde dehydrogenase family protein	-0.114	-0.163	0.055	0.176	-0.288	-0.017	-0.396	-0.168	-0.056	0.003	0.091	0.124	0.056	-0.051	0.094	-0.134
Putida	PP_2590	PP_2590		Outer membrane ferric siderophore receptor	-0.105	-0.087	0.189	0.099	-0.005	0.190	0.118	0.049	0.179	-0.058	-0.049	0.041	0.124	0.044	0.066	-0.025
